# 일본판·영어판 대사 블록 번호와 PC판 한글 대사 파일의 대응 (tools/pc2ds.py 가 사용)
# 블록 번호는 mess.bin 안의 순서. 0~1246 은 일본판과 영어판이 같고, 1247~1256 은 영어판에만 있다.
# 짝은 덩어리 개수·꼬리표·반복 패턴과 종류별 파일 순서로 찾았고, 기타 화면은 내용을 읽고 정했다.
block	file
0	RR1_MESSTEST_ENG
1	RR1_INPUTSCREEN_ENG
2	RR1_SAVESCREEN_ENG
3	RR1_EDITDECKSCREEN_ENG
4	RR1_TRANSERSCREEN_ENG
5	RR1_BATTLE_ENG
6	RR1_COCKPIT_ENG
7	RR1_CUSTOM_ENG
8	RR1_DECKSELECT_ENG
9	RR1_CONNECTSCREEN_ENG
10	RR1_BROTHERVIEWSCREEN_ENG
11	RR1_INFOSCREEN_ENG
12	RR1_POWERUP_ENG
13	RR1_CHIPINFO_ENG
14	RR1_CHIPINFO2_ENG
15	RR1_BATTLETUTORIAL00_ENG
16	RR1_BATTLETUTORIAL01_ENG
17	RR1_BATTLETUTORIAL02_ENG
18	RR1_BATTLETUTORIAL03_ENG
19	RR1_BTL_WARUNAVI00_ENG
20	RR1_NPCPARSONAL00_ENG
21	RR1_NPCPARSONAL01_ENG
22	RR1_NPCPARSONAL02_ENG
23	RR1_NPCPARSONAL03_ENG
24	RR1_NPCPARSONAL04_ENG
25	RR1_NPCPARSONAL05_ENG
26	RR1_NPCPARSONAL06_ENG
27	RR1_NPCPARSONAL07_ENG
28	RR1_NPCPARSONAL08_ENG
29	RR1_NPCPARSONAL09_ENG
30	RR1_NPCPARSONAL0A_ENG
31	RR1_NPCPARSONAL0B_ENG
32	RR1_NPCPARSONAL0C_ENG
33	RR1_NPCPARSONAL0D_ENG
34	RR1_NPCPARSONAL0E_ENG
35	RR1_NPCPARSONAL0F_ENG
36	RR1_NPCPARSONAL10_ENG
37	RR1_NPCPARSONAL11_ENG
38	RR1_NPCPARSONAL12_ENG
39	RR1_NPCPARSONAL13_ENG
40	RR1_NPCPARSONAL14_ENG
41	RR1_NPCPARSONAL15_ENG
42	RR1_NPCPARSONAL16_ENG
43	RR1_NPCPARSONAL17_ENG
44	RR1_NPCPARSONAL18_ENG
45	RR1_NPCPARSONAL19_ENG
46	RR1_NPCPARSONAL1A_ENG
47	RR1_NPCPARSONAL1B_ENG
48	RR1_NPCPARSONAL1C_ENG
49	RR1_NPCPARSONAL1D_ENG
50	RR1_NPCPARSONAL1E_ENG
51	RR1_NPCPARSONAL1F_ENG
52	RR1_NPCPARSONAL20_ENG
53	RR1_NPCPARSONAL21_ENG
54	RR1_NPCPARSONAL22_ENG
55	RR1_NPCPARSONAL23_ENG
56	RR1_NPCPARSONAL24_ENG
57	RR1_NPCPARSONAL25_ENG
58	RR1_NPCPARSONAL26_ENG
59	RR1_NPCPARSONAL27_ENG
60	RR1_NPCPARSONAL28_ENG
61	RR1_NPCPARSONAL29_ENG
62	RR1_NPCPARSONAL2A_ENG
63	RR1_NPCPARSONAL2B_ENG
64	RR1_NPCPARSONAL2C_ENG
65	RR1_NPCPARSONAL2D_ENG
66	RR1_NPCPARSONAL2E_ENG
67	RR1_NPCPARSONAL2F_ENG
68	RR1_NPCPARSONAL30_ENG
69	RR1_NPCPARSONAL31_ENG
70	RR1_NPCPARSONAL32_ENG
71	RR1_NPCPARSONAL33_ENG
72	RR1_NPCPARSONAL34_ENG
73	RR1_NPCPARSONAL35_ENG
74	RR1_NPCPARSONAL36_ENG
75	RR1_NPCPARSONAL37_ENG
76	RR1_NPCPARSONAL38_ENG
77	RR1_NPCPARSONAL39_ENG
78	RR1_NPCPARSONAL3A_ENG
79	RR1_NPCPARSONAL3B_ENG
80	RR1_NPCPARSONAL3C_ENG
81	RR1_NPCPARSONAL3D_ENG
82	RR1_NPCPARSONAL3E_ENG
83	RR1_NPCPARSONAL3F_ENG
84	RR1_NPCPARSONAL40_ENG
85	RR1_NPCPARSONAL41_ENG
86	RR1_NPCPARSONAL42_ENG
87	RR1_NPCPARSONAL43_ENG
88	RR1_NPCPARSONAL44_ENG
89	RR1_NPCPARSONAL45_ENG
90	RR1_NPCPARSONAL46_ENG
91	RR1_NPCPARSONAL47_ENG
92	RR1_NPCPARSONAL48_ENG
93	RR1_NPCPARSONAL49_ENG
94	RR1_MAILNAME_ENG
95	RR1_MAILINFO_ENG
96	RR1_MAILSCRN_ENG
97	RR1_WRITEMAILSCREEN_ENG
98	RR1_NUMBERTRADER_ENG
99	RR1_SUBSCRN_ENG
100	RR1_TUTO_SUBSCRN_ENG
101	RR1_WARROCKSCRN_ENG
102	RR1_WARROCK_WEAPON_ENG
103	RR1_DM0000_ENG
104	RR1_DM0001_ENG
105	RR1_DM0002_ENG
106	RR1_DM0003_ENG
107	RR1_DM0004_ENG
108	RR1_DM0005_ENG
109	RR1_DM0006_ENG
110	RR1_DM0007_ENG
111	RR1_DM0008_ENG
112	RR1_DM0009_ENG
113	RR1_DM000A_ENG
114	RR1_DM000B_ENG
115	RR1_DM000C_ENG
116	RR1_DM000D_ENG
117	RR1_DM000E_ENG
118	RR1_DM000F_ENG
119	RR1_DM0010_ENG
120	RR1_DM0011_ENG
121	RR1_DM0012_ENG
122	RR1_DM0013_ENG
123	RR1_DM0014_ENG
124	RR1_DM0015_ENG
125	RR1_DM0016_ENG
126	RR1_DM0017_ENG
127	RR1_DM0018_ENG
128	RR1_DM0019_ENG
129	RR1_DM001A_ENG
130	RR1_DM001B_ENG
131	RR1_DM0020_ENG
132	RR1_DM0021_ENG
133	RR1_DM0022_ENG
134	RR1_DM0030_ENG
135	RR1_DM0031_ENG
136	RR1_DM0032_ENG
137	RR1_DM0033_ENG
138	RR1_DM0034_ENG
139	RR1_DM00FF_ENG
140	RR1_DM0100_ENG
141	RR1_DM0101_ENG
142	RR1_DM0102_ENG
143	RR1_DM0103_ENG
144	RR1_DM0104_ENG
145	RR1_DM0105_ENG
146	RR1_DM0106_ENG
147	RR1_DM0107_ENG
148	RR1_DM0108_ENG
149	RR1_DM0109_ENG
150	RR1_DM010A_ENG
151	RR1_DM010B_ENG
152	RR1_DM010C_ENG
153	RR1_DM010D_ENG
154	RR1_DM010E_ENG
155	RR1_DM010F_ENG
156	RR1_DM0110_ENG
157	RR1_DM0111_ENG
158	RR1_DM0112_ENG
159	RR1_DM0113_ENG
160	RR1_DM0114_ENG
161	RR1_DM0115_ENG
162	RR1_DM0116_ENG
163	RR1_DM0117_ENG
164	RR1_DM0118_ENG
165	RR1_DM0119_ENG
166	RR1_DM011A_ENG
167	RR1_DM011B_ENG
168	RR1_DM011C_ENG
169	RR1_DM01F6_ENG
170	RR1_DM01F7_ENG
171	RR1_DM01F8_ENG
172	RR1_DM01F9_ENG
173	RR1_DM01FA_ENG
174	RR1_DM01FB_ENG
175	RR1_DM01FC_ENG
176	RR1_DM01FD_ENG
177	RR1_DM01FE_ENG
178	RR1_DM01FF_ENG
179	RR1_DM0200_ENG
180	RR1_DM0201_ENG
181	RR1_DM0202_ENG
182	RR1_DM0203_ENG
183	RR1_DM0204_ENG
184	RR1_DM0205_ENG
185	RR1_DM0206_ENG
186	RR1_DM0207_ENG
187	RR1_DM0208_ENG
188	RR1_DM0209_ENG
189	RR1_DM020A_ENG
190	RR1_DM020B_ENG
191	RR1_DM020C_ENG
192	RR1_DM020D_ENG
193	RR1_DM020E_ENG
194	RR1_DM020F_ENG
195	RR1_DM0210_ENG
196	RR1_DM0211_ENG
197	RR1_DM0212_ENG
198	RR1_DM0213_ENG
199	RR1_DM0214_ENG
200	RR1_DM0215_ENG
201	RR1_DM02FF_ENG
202	RR1_DM0300_ENG
203	RR1_DM0301_ENG
204	RR1_DM0302_ENG
205	RR1_DM0303_ENG
206	RR1_DM0304_ENG
207	RR1_DM0305_ENG
208	RR1_DM0306_ENG
209	RR1_DM0307_ENG
210	RR1_DM0308_ENG
211	RR1_DM0309_ENG
212	RR1_DM030A_ENG
213	RR1_DM030B_ENG
214	RR1_DM030C_ENG
215	RR1_DM030D_ENG
216	RR1_DM030E_ENG
217	RR1_DM030F_ENG
218	RR1_DM0310_ENG
219	RR1_DM0311_ENG
220	RR1_DM0312_ENG
221	RR1_DM0313_ENG
222	RR1_DM0314_ENG
223	RR1_DM0315_ENG
224	RR1_DM0316_ENG
225	RR1_DM0317_ENG
226	RR1_DM0318_ENG
227	RR1_DM0319_ENG
228	RR1_DM031A_ENG
229	RR1_DM031B_ENG
230	RR1_DM031C_ENG
231	RR1_DM031D_ENG
232	RR1_DM031E_ENG
233	RR1_DM031F_ENG
234	RR1_DM0320_ENG
235	RR1_DM03FF_ENG
236	RR1_DM0400_ENG
237	RR1_DM0401_ENG
238	RR1_DM0402_ENG
239	RR1_DM0403_ENG
240	RR1_DM0404_ENG
241	RR1_DM0405_ENG
242	RR1_DM0406_ENG
243	RR1_DM0407_ENG
244	RR1_DM0408_ENG
245	RR1_DM0409_ENG
246	RR1_DM040A_ENG
247	RR1_DM040B_ENG
248	RR1_DM040C_ENG
249	RR1_DM040D_ENG
250	RR1_DM040E_ENG
251	RR1_DM040F_ENG
252	RR1_DM0410_ENG
253	RR1_DM0411_ENG
254	RR1_DM0412_ENG
255	RR1_DM0413_ENG
256	RR1_DM0414_ENG
257	RR1_DM0415_ENG
258	RR1_DM0416_ENG
259	RR1_DM0417_ENG
260	RR1_DM0418_ENG
261	RR1_DM0419_ENG
262	RR1_DM041A_ENG
263	RR1_DM04F1_ENG
264	RR1_DM04F7_ENG
265	RR1_DM04F8_ENG
266	RR1_DM04F9_ENG
267	RR1_DM04FA_ENG
268	RR1_DM04FB_ENG
269	RR1_DM04FC_ENG
270	RR1_DM04FD_ENG
271	RR1_DM04FE_ENG
272	RR1_DM04FF_ENG
273	RR1_DM0500_ENG
274	RR1_DM0501_ENG
275	RR1_DM0502_ENG
276	RR1_DM0503_ENG
277	RR1_DM0504_ENG
278	RR1_DM0505_ENG
279	RR1_DM0506_ENG
280	RR1_DM0507_ENG
281	RR1_DM0508_ENG
282	RR1_DM0509_ENG
283	RR1_DM050A_ENG
284	RR1_DM050B_ENG
285	RR1_DM050C_ENG
286	RR1_DM050D_ENG
287	RR1_DM050E_ENG
288	RR1_DM050F_ENG
289	RR1_DM0510_ENG
290	RR1_DM0511_ENG
291	RR1_DM0512_ENG
292	RR1_DM0513_ENG
293	RR1_DM0514_ENG
294	RR1_DM0515_ENG
295	RR1_DM0516_ENG
296	RR1_DM0517_ENG
297	RR1_DM0518_ENG
298	RR1_DM0519_ENG
299	RR1_DM051A_ENG
300	RR1_DM051B_ENG
301	RR1_DM051C_ENG
302	RR1_DM051D_ENG
303	RR1_DM051E_ENG
304	RR1_DM051F_ENG
305	RR1_DM0520_ENG
306	RR1_DM0521_ENG
307	RR1_DM0522_ENG
308	RR1_DM0523_ENG
309	RR1_DM0524_ENG
310	RR1_DM0525_ENG
311	RR1_DM0526_ENG
312	RR1_DM0527_ENG
313	RR1_DM0528_ENG
314	RR1_DM05F2_ENG
315	RR1_DM05F3_ENG
316	RR1_DM05F4_ENG
317	RR1_DM05F5_ENG
318	RR1_DM05F6_ENG
319	RR1_DM05F7_ENG
320	RR1_DM05F8_ENG
321	RR1_DM05F9_ENG
322	RR1_DM05FA_ENG
323	RR1_DM05FB_ENG
324	RR1_DM05FC_ENG
325	RR1_DM05FD_ENG
326	RR1_DM05FE_ENG
327	RR1_DM05FF_ENG
328	RR1_DM0600_ENG
329	RR1_DM0601_ENG
330	RR1_DM0602_ENG
331	RR1_DM0603_ENG
332	RR1_DM0604_ENG
333	RR1_DM0605_ENG
334	RR1_DM0606_ENG
335	RR1_DM0607_ENG
336	RR1_DM0608_ENG
337	RR1_DM0609_ENG
338	RR1_DM060A_ENG
339	RR1_DM060B_ENG
340	RR1_DM060C_ENG
341	RR1_DM060D_ENG
342	RR1_DM060E_ENG
343	RR1_DM060F_ENG
344	RR1_DM0610_ENG
345	RR1_DM0611_ENG
346	RR1_DM0612_ENG
347	RR1_DM0613_ENG
348	RR1_DM0614_ENG
349	RR1_DM0615_ENG
350	RR1_DM0616_ENG
351	RR1_DM0617_ENG
352	RR1_DM0618_ENG
353	RR1_DM0619_ENG
354	RR1_DM061A_ENG
355	RR1_DM061B_ENG
356	RR1_DM061C_ENG
357	RR1_DM061D_ENG
358	RR1_DM061E_ENG
359	RR1_DM061F_ENG
360	RR1_DM0620_ENG
361	RR1_DM0621_ENG
362	RR1_DM0622_ENG
363	RR1_DM0623_ENG
364	RR1_DM0624_ENG
365	RR1_DM0625_ENG
366	RR1_DM0626_ENG
367	RR1_DM0627_ENG
368	RR1_DM0628_ENG
369	RR1_DM0629_ENG
370	RR1_DM062A_ENG
371	RR1_DM062B_ENG
372	RR1_DM062C_ENG
373	RR1_DM06FF_ENG
374	RR1_DM0700_ENG
375	RR1_DM0701_ENG
376	RR1_DM0702_ENG
377	RR1_DM0703_ENG
378	RR1_DM0704_ENG
379	RR1_DM0705_ENG
380	RR1_DM0706_ENG
381	RR1_DM0707_ENG
382	RR1_DM0708_ENG
383	RR1_RT0000_A_ENG
384	RR1_RT0000_B_ENG
385	RR1_RT0000_C_ENG
386	RR1_RT0000_D_ENG
387	RR1_RT0100_A_ENG
388	RR1_RT0100_B_ENG
389	RR1_RT0100_C_ENG
390	RR1_RT0100_D_ENG
391	RR1_RT0200_B_ENG
392	RR1_RT0200_C_ENG
393	RR1_RT0200_D_ENG
394	RR1_RT0300_C_ENG
395	RR1_RT0300_D_ENG
396	RR1_RT0400_C_ENG
397	RR1_RT0400_D_ENG
398	RR1_RT0500_D_ENG
399	RR1_RT8000_A_ENG
400	RR1_RT8000_B_ENG
401	RR1_RT8000_C_ENG
402	RR1_RT8000_D_ENG
403	RR1_RT8100_A_ENG
404	RR1_RT8100_B_ENG
405	RR1_RT8100_C_ENG
406	RR1_RT8100_D_ENG
407	RR1_RT8200_B_ENG
408	RR1_RT8200_C_ENG
409	RR1_RT8200_D_ENG
410	RR1_RT8300_C_ENG
411	RR1_RT8300_D_ENG
412	RR1_RT8400_C_ENG
413	RR1_RT8400_D_ENG
414	RR1_RT8500_D_ENG
417	RR1_RT8C00_A_ENG
418	RR1_RT8C00_B_ENG
419	RR1_RT8C00_C_ENG
420	RR1_RT8C00_D_ENG
421	RR1_RT8D00_A_ENG
422	RR1_RT8D00_B_ENG
423	RR1_RT8D00_C_ENG
424	RR1_RT8D00_D_ENG
425	RR1_RT8E00_A_ENG
426	RR1_RT8E00_B_ENG
427	RR1_RT8E00_C_ENG
428	RR1_RT8E00_D_ENG
429	RR1_RT9000_A_ENG
430	RR1_RT9000_B_ENG
431	RR1_RT9000_C_ENG
432	RR1_RT9000_D_ENG
433	RR1_RT9100_A_ENG
434	RR1_RT9100_B_ENG
435	RR1_RT9100_C_ENG
436	RR1_RT9100_D_ENG
437	RR1_RT9200_B_ENG
438	RR1_RT9200_C_ENG
439	RR1_RT9200_D_ENG
440	RR1_RT9300_C_ENG
441	RR1_RT9300_D_ENG
442	RR1_RT9400_C_ENG
443	RR1_RT9400_D_ENG
445	RR1_RT9500_D_ENG
448	RR1_ST0000_A_ENG
449	RR1_ST0000_B_ENG
450	RR1_ST0000_C_ENG
451	RR1_ST0000_D_ENG
452	RR1_ST0000_X_ENG
453	RR1_ST0000_Z_ENG
454	RR1_ST0001_A_ENG
455	RR1_ST0001_B_ENG
456	RR1_ST0001_C_ENG
457	RR1_ST0001_D_ENG
458	RR1_ST0001_X_ENG
459	RR1_ST0001_Z_ENG
460	RR1_ST0002_A_ENG
461	RR1_ST0002_B_ENG
462	RR1_ST0002_C_ENG
465	RR1_ST0002_Z_ENG
468	RR1_ST0003_C_ENG
471	RR1_ST0003_Z_ENG
473	RR1_ST0004_B_ENG
474	RR1_ST0004_C_ENG
477	RR1_ST0004_Z_ENG
479	RR1_ST0005_B_ENG
480	RR1_ST0005_C_ENG
483	RR1_ST0005_Z_ENG
486	RR1_ST0006_C_ENG
487	RR1_ST0006_D_ENG
488	RR1_ST0006_X_ENG
489	RR1_ST0006_Z_ENG
490	RR1_ST0007_A_ENG
491	RR1_ST0007_B_ENG
492	RR1_ST0007_C_ENG
493	RR1_ST0007_D_ENG
494	RR1_ST0007_X_ENG
495	RR1_ST0007_Z_ENG
496	RR1_ST0100_A_ENG
497	RR1_ST0100_B_ENG
498	RR1_ST0100_C_ENG
499	RR1_ST0100_D_ENG
500	RR1_ST0100_X_ENG
501	RR1_ST0100_Z_ENG
502	RR1_ST0101_A_ENG
503	RR1_ST0101_B_ENG
504	RR1_ST0101_C_ENG
505	RR1_ST0101_D_ENG
506	RR1_ST0101_X_ENG
507	RR1_ST0101_Z_ENG
508	RR1_ST0102_A_ENG
509	RR1_ST0102_B_ENG
510	RR1_ST0102_C_ENG
511	RR1_ST0102_D_ENG
512	RR1_ST0102_X_ENG
513	RR1_ST0102_Z_ENG
514	RR1_ST0103_A_ENG
515	RR1_ST0103_B_ENG
516	RR1_ST0103_C_ENG
517	RR1_ST0103_D_ENG
518	RR1_ST0103_X_ENG
519	RR1_ST0103_Z_ENG
520	RR1_ST0104_A_ENG
524	RR1_ST0104_X_ENG
